Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,1986,Apr,4,1986-04-01,extent,1303711.475
East_Siberian,1987,Apr,4,1987-04-01,extent,1303711.475
East_Siberian,1988,Apr,4,1988-04-01,extent,1303711.475
East_Siberian,1989,Apr,4,1989-04-01,extent,1303711.475
East_Siberian,1990,Apr,4,1990-04-01,extent,1303711.475
East_Siberian,1991,Apr,4,1991-04-01,extent,1303711.475
East_Siberian,1992,Apr,4,1992-04-01,extent,1303711.475
East_Siberian,1993,Apr,4,1993-04-01,extent,1303711.475
East_Siberian,1994,Apr,4,1994-04-01,extent,1303711.475
East_Siberian,1995,Apr,4,1995-04-01,extent,1303690.085
East_Siberian,1996,Apr,4,1996-04-01,extent,1303711.475
East_Siberian,1997,Apr,4,1997-04-01,extent,1303711.475
East_Siberian,1998,Apr,4,1998-04-01,extent,1303711.475
East_Siberian,1999,Apr,4,1999-04-01,extent,1303711.475
East_Siberian,2000,Apr,4,2000-04-01,extent,1303711.475
East_Siberian,2001,Apr,4,2001-04-01,extent,1303711.475
East_Siberian,2002,Apr,4,2002-04-01,extent,1303711.475
East_Siberian,2003,Apr,4,2003-04-01,extent,1303711.475
East_Siberian,2004,Apr,4,2004-04-01,extent,1303711.475
East_Siberian,2005,Apr,4,2005-04-01,extent,1303711.475
East_Siberian,2006,Apr,4,2006-04-01,extent,1303711.475
East_Siberian,2007,Apr,4,2007-04-01,extent,1303711.475
East_Siberian,2008,Apr,4,2008-04-01,extent,1303711.475
East_Siberian,2009,Apr,4,2009-04-01,extent,1303711.475
East_Siberian,2010,Apr,4,2010-04-01,extent,1303711.475
East_Siberian,2011,Apr,4,2011-04-01,extent,1303711.475
East_Siberian,2012,Apr,4,2012-04-01,extent,1303711.475
East_Siberian,2013,Apr,4,2013-04-01,extent,1303711.475
East_Siberian,2014,Apr,4,2014-04-01,extent,1303711.475
East_Siberian,2015,Apr,4,2015-04-01,extent,1303711.475
East_Siberian,2016,Apr,4,2016-04-01,extent,1303711.475
East_Siberian,2017,Apr,4,2017-04-01,extent,1303711.475
East_Siberian,2018,Apr,4,2018-04-01,extent,1303711.475
East_Siberian,2019,Apr,4,2019-04-01,extent,1303711.475
East_Siberian,2020,Apr,4,2020-04-01,extent,1303711.475
East_Siberian,2021,Apr,4,2021-04-01,extent,1303711.475
East_Siberian,2022,Apr,4,2022-04-01,extent,1303711.475
East_Siberian,2023,Apr,4,2023-04-01,extent,1303711.475
East_Siberian,2024,Apr,4,2024-04-01,extent,1303711.475
East_Siberian,1979,May,5,1979-05-01,extent,1303067.999
East_Siberian,1980,May,5,1980-05-01,extent,1303668.51
East_Siberian,1981,May,5,1981-05-01,extent,1302311.711
East_Siberian,1982,May,5,1982-05-01,extent,1303368.955
